name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Los Angeles,USA",2022-01-01T00:00:00,48.3,48.3,41.6,77.68,0,0,,0,0,,0.4,1,1011.4,25,8.8,0,0,0,,Partially cloudy,partly-cloudy-night,"KHHR,72295023174,KBUR,KCQT,72295603167,72287493134"
"Los Angeles,USA",2022-01-01T01:00:00,48.9,48.9,43.2,80.38,0,0,,0,0,,0.2,1,1012,86.4,3.9,0,0,0,,Partially cloudy,partly-cloudy-night,"KHHR,72295023174,KBUR,KCQT,72295603167,72287493134"
"Los Angeles,USA",2022-01-01T02:00:00,49.9,49.3,42,74.19,0,0,,0,0,,3.3,17,1013.1,81.8,9.6,0,0,0,,Partially cloudy,partly-cloudy-night,"KHHR,72295023174,KBUR,KCQT,72295603167,72287493134"
"Los Angeles,USA",2022-01-01T03:00:00,48.2,48.2,39,70.43,0,0,,0,0,,0.4,357,1013.9,33.5,9.8,0,0,0,,Partially cloudy,partly-cloudy-night,"KHHR,72295023174,KBUR,KCQT,72295603167,72287493134"
"Los Angeles,USA",2022-01-01T04:00:00,48.1,48.1,38.7,69.61,0,0,,0,0,,0.4,357,1014.2,86.1,9.9,0,0,0,,Partially cloudy,partly-cloudy-night,"KHHR,72295023174,KBUR,KCQT,72295603167,72287493134"
"Los Angeles,USA",2022-01-01T05:00:00,47.2,47.2,38.4,71.43,0,0,,0,0,,0.2,359,1015,94.3,9.9,0,0,0,,Overcast,cloudy,"KHHR,72295023174,KBUR,KCQT,72295603167,72287493134"
"Los Angeles,USA",2022-01-01T06:00:00,47.1,47.1,35.1,62.93,0,0,,0,0,,0.3,359,1016.1,81.7,9.9,0.1,0,0,,Partially cloudy,partly-cloudy-night,"KHHR,72295023174,KBUR,KCQT,72295603167,72287493134"
"Los Angeles,USA",2022-01-01T07:00:00,47,46.1,33.9,60.24,0,0,,0,0,,3.2,8,1017.5,87,9.9,5,0,0,,Partially cloudy,partly-cloudy-day,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134"
"Los Angeles,USA",2022-01-01T08:00:00,47.2,47.2,35,62.6,0,0,,0,0,,0.1,6,1018.6,52.9,9.9,24,0.1,0,,Partially cloudy,partly-cloudy-day,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134"
"Los Angeles,USA",2022-01-01T09:00:00,51.4,51.4,34.1,51.36,0,0,,0,0,,0.2,360,1019.5,5.2,9.9,58,0.2,1,,Clear,clear-day,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134"
"Los Angeles,USA",2022-01-01T10:00:00,56.1,56.1,35.8,46.49,0,0,,0,0,,0.3,7,1019.9,1.7,9.9,393,1.4,4,,Clear,clear-day,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134"
"Los Angeles,USA",2022-01-01T11:00:00,57.1,57.1,39.6,51.88,0,0,,0,0,,0.3,0,1020,1.7,9.9,503,1.8,5,,Clear,clear-day,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134"
"Los Angeles,USA",2022-01-01T12:00:00,58.1,58.1,40.6,52.11,0,0,,0,0,,0.3,11,1019.8,1.7,9.9,555,2,6,,Clear,clear-day,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134"
"Los Angeles,USA",2022-01-01T13:00:00,59.3,59.3,38.7,46.33,0,0,,0,0,,3.2,292,1019.4,1.7,9.9,476,1.7,5,,Clear,clear-day,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134"
"Los Angeles,USA",2022-01-01T14:00:00,61.1,61.1,38,42.36,0,0,,0,0,,4.8,79,1019.6,1.7,9.9,458,1.6,5,,Clear,clear-day,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134"
"Los Angeles,USA",2022-01-01T15:00:00,60.5,60.5,38.7,44.52,0,0,,0,0,,0.8,3,1020,1.7,9.9,351,1.3,4,,Clear,clear-day,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134"
"Los Angeles,USA",2022-01-01T16:00:00,60.2,60.2,38,43.61,0,0,,0,0,,6.1,268,1020.7,1,9.9,40,0.1,0,,Clear,clear-day,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134"
"Los Angeles,USA",2022-01-01T17:00:00,57.1,57.1,39.1,51.02,0,0,,0,0,,3.9,236,1021.7,1,9.9,14,0.1,0,,Clear,clear-night,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134"
"Los Angeles,USA",2022-01-01T18:00:00,54.3,54.3,42.1,63.31,0,0,,0,0,,0.3,352,1022.7,1,9.9,0,0,0,,Clear,clear-night,"KHHR,72295023174,KBUR,KCQT,72295603167,72287493134"
"Los Angeles,USA",2022-01-01T19:00:00,52.6,52.6,42.8,69.08,0,0,,0,0,,0.4,354,1023.1,0,9.9,0,0,0,,Clear,clear-night,"KHHR,72295023174,KBUR,KCQT,72295603167,72287493134"
"Los Angeles,USA",2022-01-01T20:00:00,50.6,50.6,42.3,73.14,0,0,,0,0,,0.3,358,1023.9,0,9.9,0,0,0,,Clear,clear-night,"KHHR,72295023174,KBUR,KCQT,72295603167,72287493134"
"Los Angeles,USA",2022-01-01T21:00:00,51.3,51.3,37.3,58.7,0,0,,0,0,,0.3,1,1024.5,0,9.9,0,0,0,,Clear,clear-night,"KHHR,72295023174,KBUR,KCQT,72295603167,72287493134"
"Los Angeles,USA",2022-01-01T22:00:00,49.2,49.2,34.1,55.87,0,0,,0,0,,0.2,2,1025.1,0,9.9,0,0,0,,Clear,clear-night,"KHHR,72295023174,KBUR,KCQT,72295603167,72287493134"
"Los Angeles,USA",2022-01-01T23:00:00,50.1,50.1,28,42.14,0,0,,0,0,,0.2,2,1025.1,0,9.9,0,0,0,,Clear,clear-night,"KHHR,72295023174,KBUR,KCQT,72295603167,72287493134"
